timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-10 21:16:40.841,mrleo-pod-be-9,Succeeded,minikube-m02,minikube-m02,159,0,6281
2024-12-10 21:16:41.747,mrleo-pod-be-9,Succeeded,minikube-m02,minikube-m02,159,0,7187
2024-12-10 21:16:41.906,mrleo-pod-gu-7,Succeeded,minikube,minikube-m02,167,21,7352
2024-12-10 21:16:41.939,mrleo-pod-be-10,Succeeded,minikube,minikube-m02,113,21,7379
2024-12-10 21:16:42.805,mrleo-pod-gu-7,Succeeded,minikube,minikube-m02,167,21,8250
2024-12-10 21:16:43.137,mrleo-pod-be-10,Succeeded,minikube,minikube-m02,113,21,8582
2024-12-10 21:16:43.451,mrleo-pod-gu-20,Succeeded,minikube-m02,minikube-m02,186,0,7651
2024-12-10 21:16:44.350,mrleo-pod-gu-20,Succeeded,minikube-m02,minikube-m02,186,0,8552
2024-12-10 21:16:44.801,mrleo-pod-gu-19,Succeeded,minikube,minikube-m02,133,21,9007
2024-12-10 21:16:44.824,mrleo-pod-be-8,Succeeded,minikube,minikube-m02,295,21,8764
2024-12-10 21:16:44.830,mrleo-pod-be-15,Succeeded,minikube-m02,minikube-m02,120,0,9030
2024-12-10 21:16:45.426,julius-pod-bu-5,Succeeded,minikube-m02,minikube,203,21,9372
2024-12-10 21:16:45.457,julius-pod-bu-3,Succeeded,minikube,minikube,465,0,9402
2024-12-10 21:16:45.588,mrleo-pod-gu-19,Succeeded,minikube,minikube-m02,133,21,9789
2024-12-10 21:16:45.668,mrleo-pod-be-8,Succeeded,minikube,minikube-m02,295,21,9614
2024-12-10 21:16:45.690,mrleo-pod-be-15,Succeeded,minikube-m02,minikube-m02,120,0,9890
2024-12-10 21:16:45.803,mrleo-pod-be-32,Succeeded,minikube,minikube-m02,161,21,8427
2024-12-10 21:16:45.808,mrleo-pod-gu-17,Succeeded,minikube-m02,minikube-m02,128,0,8514
2024-12-10 21:16:46.309,julius-pod-bu-5,Succeeded,minikube-m02,minikube,203,21,10254
2024-12-10 21:16:46.367,julius-pod-bu-3,Succeeded,minikube,minikube,465,0,10307
2024-12-10 21:16:46.594,julius-pod-be-2,Succeeded,minikube-m02,minikube,255,21,10534
2024-12-10 21:16:46.601,julius-pod-be-12,Succeeded,minikube-m02,minikube,186,21,9301
2024-12-10 21:16:46.623,mrleo-pod-bu-36,Succeeded,minikube-m02,minikube,75,21,7537
2024-12-10 21:16:46.681,mrleo-pod-be-32,Succeeded,minikube,minikube-m02,161,21,9309
2024-12-10 21:16:46.751,mrleo-pod-gu-17,Succeeded,minikube-m02,minikube-m02,128,0,9453
2024-12-10 21:16:46.934,mrleo-pod-gu-33,Succeeded,minikube-m02,minikube-m02,129,0,9558
2024-12-10 21:16:47.457,julius-pod-be-2,Succeeded,minikube-m02,minikube,255,21,11397
2024-12-10 21:16:47.498,julius-pod-be-12,Succeeded,minikube-m02,minikube,186,21,10199
2024-12-10 21:16:47.515,mrleo-pod-bu-36,Succeeded,minikube-m02,minikube,75,21,8429
2024-12-10 21:16:47.717,julius-pod-bu-22,Succeeded,minikube-m02,minikube,281,21,10418
2024-12-10 21:16:48.078,mrleo-pod-gu-33,Succeeded,minikube-m02,minikube-m02,129,0,9210
2024-12-10 21:16:48.334,mrleo-pod-gu-43,Succeeded,minikube,minikube-m02,157,21,9246
2024-12-10 21:16:48.728,julius-pod-bu-22,Succeeded,minikube-m02,minikube,281,21,11429
2024-12-10 21:16:48.941,julius-pod-bu-24,Succeeded,minikube,minikube,193,0,11647
2024-12-10 21:16:48.956,julius-pod-be-30,Succeeded,minikube,minikube,226,0,10084
2024-12-10 21:16:49.316,mrleo-pod-gu-43,Succeeded,minikube,minikube-m02,157,21,8730
2024-12-10 21:16:49.787,julius-pod-be-30,Succeeded,minikube,minikube,226,0,10911
2024-12-10 21:16:49.819,julius-pod-bu-24,Succeeded,minikube,minikube,193,0,12520
2024-12-10 21:16:50.162,julius-pod-be-31,Succeeded,minikube,minikube,136,0,11292
2024-12-10 21:16:50.191,julius-pod-be-28,Succeeded,minikube-m02,minikube,209,21,11339
2024-12-10 21:16:50.244,julius-pod-be-34,Succeeded,minikube,minikube,345,0,11368
2024-12-10 21:16:51.001,julius-pod-be-34,Succeeded,minikube,minikube,345,0,12125
2024-12-10 21:16:51.149,julius-pod-be-28,Succeeded,minikube-m02,minikube,209,21,12278
2024-12-10 21:16:51.182,julius-pod-be-31,Succeeded,minikube,minikube,136,0,12309
2024-12-10 21:16:51.379,julius-pod-gu-40,Succeeded,minikube-m02,minikube,225,21,10787
2024-12-10 21:16:51.420,julius-pod-gu-27,Succeeded,minikube,minikube,245,0,12544
2024-12-10 21:16:52.200,julius-pod-gu-27,Succeeded,minikube,minikube,245,0,13329
2024-12-10 21:16:52.342,julius-pod-gu-40,Succeeded,minikube-m02,minikube,225,21,11751
2024-12-10 21:16:52.805,mrleo-pod-bu-55,Succeeded,minikube-m02,minikube-m02,135,0,10318
2024-12-10 21:16:52.829,mrleo-pod-gu-47,Succeeded,minikube,minikube-m02,141,21,12244
2024-12-10 21:16:52.844,julius-pod-bu-41,Succeeded,minikube,minikube-m02,183,21,12253
2024-12-10 21:16:52.850,julius-pod-be-37,Succeeded,minikube-m02,minikube-m02,206,0,12259
2024-12-10 21:16:53.501,mrleo-pod-gu-62,Succeeded,minikube,minikube,235,0,9309
2024-12-10 21:16:53.696,mrleo-pod-bu-55,Succeeded,minikube-m02,minikube-m02,135,0,11209
2024-12-10 21:16:53.724,julius-pod-be-37,Succeeded,minikube-m02,minikube-m02,206,0,13133
2024-12-10 21:16:53.737,julius-pod-bu-41,Succeeded,minikube,minikube-m02,183,21,13145
2024-12-10 21:16:53.766,mrleo-pod-gu-47,Succeeded,minikube,minikube-m02,141,21,13175
2024-12-10 21:16:54.015,julius-pod-bu-53,Succeeded,minikube,minikube-m02,353,21,11534
2024-12-10 21:16:54.073,mrleo-pod-be-56,Succeeded,minikube-m02,minikube-m02,255,0,11585
2024-12-10 21:16:54.084,julius-pod-bu-49,Succeeded,minikube,minikube-m02,126,21,11596
2024-12-10 21:16:54.095,julius-pod-be-39,Succeeded,minikube,minikube-m02,325,21,13504
2024-12-10 21:16:54.104,mrleo-pod-gu-52,Succeeded,minikube,minikube-m02,197,21,11617
2024-12-10 21:16:54.130,mrleo-pod-be-61,Succeeded,minikube,minikube-m02,172,21,9943
2024-12-10 21:16:54.158,julius-pod-be-50,Succeeded,minikube-m02,minikube-m02,221,0,11670
2024-12-10 21:16:54.171,julius-pod-bu-35,Succeeded,minikube-m02,minikube-m02,281,0,13579
2024-12-10 21:16:54.426,mrleo-pod-gu-62,Succeeded,minikube,minikube,235,0,10238
2024-12-10 21:16:54.749,mrleo-pod-be-61,Succeeded,minikube,minikube-m02,172,21,10563
2024-12-10 21:16:54.775,julius-pod-bu-49,Succeeded,minikube,minikube-m02,126,21,12287
2024-12-10 21:16:54.825,mrleo-pod-be-56,Succeeded,minikube-m02,minikube-m02,255,0,12338
2024-12-10 21:16:54.867,julius-pod-be-39,Succeeded,minikube,minikube-m02,325,21,14276
2024-12-10 21:16:54.894,julius-pod-be-50,Succeeded,minikube-m02,minikube-m02,221,0,12407
2024-12-10 21:16:54.917,julius-pod-bu-53,Succeeded,minikube,minikube-m02,353,21,12433
2024-12-10 21:16:55.141,julius-pod-bu-35,Succeeded,minikube-m02,minikube-m02,281,0,14555
2024-12-10 21:16:55.205,mrleo-pod-gu-52,Succeeded,minikube,minikube-m02,197,21,12718
2024-12-10 21:16:56.538,julius-pod-gu-60,Succeeded,minikube,minikube-m02,286,21,12346
2024-12-10 21:16:57.155,aeneas-pod-bu-1,Succeeded,minikube-m02,minikube,322,21,21095
2024-12-10 21:16:57.449,julius-pod-gu-60,Succeeded,minikube,minikube-m02,286,21,13257
2024-12-10 21:16:58.055,aeneas-pod-bu-1,Succeeded,minikube-m02,minikube,322,21,21996
2024-12-10 21:16:58.407,aeneas-pod-be-11,Succeeded,minikube-m02,minikube,575,21,22347
2024-12-10 21:16:58.436,julius-pod-be-64,Succeeded,minikube,minikube,604,0,14244
2024-12-10 21:16:58.470,mrleo-pod-bu-63,Succeeded,minikube-m02,minikube,83,21,14279
2024-12-10 21:16:58.507,aeneas-pod-gu-6,Succeeded,minikube,minikube,516,0,22447
2024-12-10 21:16:58.544,julius-pod-be-67,Succeeded,minikube-m02,minikube,175,21,14353
2024-12-10 21:16:58.568,aeneas-pod-be-18,Succeeded,minikube-m02,minikube,558,21,21268
2024-12-10 21:16:58.586,aeneas-pod-gu-6,Succeeded,minikube,minikube,516,0,22526
2024-12-10 21:16:58.608,julius-pod-be-67,Succeeded,minikube-m02,minikube,175,21,14416
2024-12-10 21:16:58.649,julius-pod-be-64,Succeeded,minikube,minikube,604,0,14457
2024-12-10 21:16:58.666,mrleo-pod-bu-63,Succeeded,minikube-m02,minikube,83,21,14473
2024-12-10 21:16:59.164,julius-pod-be-64,Succeeded,minikube,minikube,604,0,14971
2024-12-10 21:16:59.180,aeneas-pod-be-11,Succeeded,minikube-m02,minikube,575,21,23121
2024-12-10 21:16:59.193,julius-pod-be-67,Succeeded,minikube-m02,minikube,175,21,15001
2024-12-10 21:16:59.208,aeneas-pod-be-18,Succeeded,minikube-m02,minikube,558,21,21909
2024-12-10 21:16:59.219,mrleo-pod-bu-63,Succeeded,minikube-m02,minikube,83,21,15027
2024-12-10 21:16:59.277,aeneas-pod-gu-6,Succeeded,minikube,minikube,516,0,23217
2024-12-10 21:16:59.465,aeneas-pod-be-14,Succeeded,minikube-m02,minikube,482,21,22166
2024-12-10 21:16:59.494,aeneas-pod-bu-16,Succeeded,minikube-m02,minikube,387,21,22195
2024-12-10 21:16:59.499,aeneas-pod-be-4,Succeeded,minikube-m02,minikube,463,21,23443
2024-12-10 21:16:59.512,aeneas-pod-be-26,Succeeded,minikube-m02,minikube,300,21,20641
2024-12-10 21:16:59.526,mrleo-pod-bu-65,Succeeded,minikube-m02,minikube,162,21,15334
2024-12-10 21:16:59.860,julius-pod-be-69,Succeeded,minikube,minikube-m02,249,21,15673
2024-12-10 21:17:00.378,aeneas-pod-be-14,Succeeded,minikube-m02,minikube,482,21,23084
2024-12-10 21:17:00.430,mrleo-pod-bu-65,Succeeded,minikube-m02,minikube,162,21,16243
2024-12-10 21:17:00.475,aeneas-pod-bu-16,Succeeded,minikube-m02,minikube,387,21,23181
2024-12-10 21:17:00.484,aeneas-pod-be-4,Succeeded,minikube-m02,minikube,463,21,24425
2024-12-10 21:17:00.494,aeneas-pod-be-26,Succeeded,minikube-m02,minikube,300,21,21617
2024-12-10 21:17:00.539,aeneas-pod-bu-13,Succeeded,minikube,minikube,464,0,23240
2024-12-10 21:17:00.559,aeneas-pod-be-23,Succeeded,minikube-m02,minikube,323,21,23260
2024-12-10 21:17:00.579,aeneas-pod-bu-21,Succeeded,minikube-m02,minikube,399,21,23279
2024-12-10 21:17:00.827,julius-pod-be-69,Succeeded,minikube,minikube-m02,249,21,16635
2024-12-10 21:17:01.202,mrleo-pod-be-66,Succeeded,minikube-m02,minikube-m02,130,0,17010
2024-12-10 21:17:01.280,mrleo-pod-be-75,Succeeded,minikube,minikube-m02,160,21,15455
2024-12-10 21:17:01.303,mrleo-pod-be-78,Succeeded,minikube,minikube-m02,322,21,15480
2024-12-10 21:17:01.340,mrleo-pod-gu-68,Succeeded,minikube,minikube-m02,178,21,17148
2024-12-10 21:17:01.364,julius-pod-be-72,Succeeded,minikube,minikube-m02,254,21,15539
2024-12-10 21:17:01.392,mrleo-pod-be-83,Succeeded,minikube,minikube-m02,155,21,13855
2024-12-10 21:17:01.411,mrleo-pod-gu-70,Succeeded,minikube,minikube-m02,182,21,17220
2024-12-10 21:17:01.442,julius-pod-bu-74,Succeeded,minikube-m02,minikube-m02,312,0,15617
2024-12-10 21:17:01.470,aeneas-pod-gu-44,Succeeded,minikube-m02,minikube-m02,617,0,20879
2024-12-10 21:17:01.664,aeneas-pod-be-23,Succeeded,minikube-m02,minikube,323,21,24364
2024-12-10 21:17:01.812,aeneas-pod-bu-13,Succeeded,minikube,minikube,464,0,24512
2024-12-10 21:17:01.901,aeneas-pod-bu-21,Succeeded,minikube-m02,minikube,399,21,24601
2024-12-10 21:17:01.935,julius-pod-bu-74,Succeeded,minikube-m02,minikube-m02,312,0,16110
2024-12-10 21:17:01.968,julius-pod-be-72,Succeeded,minikube,minikube-m02,254,21,16143
2024-12-10 21:17:01.998,mrleo-pod-be-75,Succeeded,minikube,minikube-m02,160,21,16173
2024-12-10 21:17:02.023,aeneas-pod-gu-44,Succeeded,minikube-m02,minikube-m02,617,0,21431
2024-12-10 21:17:02.049,mrleo-pod-gu-68,Succeeded,minikube,minikube-m02,178,21,17856
2024-12-10 21:17:02.069,mrleo-pod-be-78,Succeeded,minikube,minikube-m02,322,21,16244
2024-12-10 21:17:02.091,julius-pod-bu-76,Succeeded,minikube-m02,minikube,237,21,16266
2024-12-10 21:17:02.115,mrleo-pod-be-66,Succeeded,minikube-m02,minikube-m02,130,0,17923
