timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-11 00:05:26.501,mrleo-pod-be-9,Succeeded,minikube-m03,minikube-m03,159,0,17297
2024-12-11 00:05:26.508,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,10851
2024-12-11 00:05:26.650,mrleo-pod-gu-7,Succeeded,minikube-m02,minikube-m02,167,0,13367
2024-12-11 00:05:27.355,mrleo-pod-be-9,Succeeded,minikube-m03,minikube-m03,159,0,11548
2024-12-11 00:05:27.550,mrleo-pod-gu-7,Succeeded,minikube-m02,minikube-m02,167,0,18170
2024-12-11 00:05:27.733,mrleo-pod-gu-20,Succeeded,minikube-m04,minikube-m04,186,0,16941
2024-12-11 00:05:27.812,mrleo-pod-be-10,Succeeded,minikube,minikube,113,0,16603
2024-12-11 00:05:28.510,mrleo-pod-gu-20,Succeeded,minikube-m04,minikube-m04,186,0,15367
2024-12-11 00:05:28.599,mrleo-pod-be-15,Succeeded,minikube-m03,minikube-m03,120,0,12308
2024-12-11 00:05:29.139,mrleo-pod-be-8,Succeeded,minikube,minikube,295,0,17581
2024-12-11 00:05:29.164,mrleo-pod-gu-19,Succeeded,minikube,minikube,133,0,18436
2024-12-11 00:05:29.501,mrleo-pod-be-15,Succeeded,minikube-m03,minikube-m03,120,0,18032
2024-12-11 00:05:30.045,mrleo-pod-be-8,Succeeded,minikube,minikube,295,0,16698
2024-12-11 00:05:30.069,mrleo-pod-gu-19,Succeeded,minikube,minikube,133,0,19634
2024-12-11 00:05:30.222,mrleo-pod-be-32,Succeeded,minikube,minikube,161,0,18091
2024-12-11 00:05:30.365,mrleo-pod-gu-17,Succeeded,minikube-m03,minikube-m02,128,21,12707
2024-12-11 00:05:30.872,julius-pod-bu-5,Succeeded,minikube-m03,minikube-m03,203,0,16507
2024-12-11 00:05:31.144,mrleo-pod-be-32,Succeeded,minikube,minikube,161,0,16741
2024-12-11 00:05:31.219,mrleo-pod-gu-17,Succeeded,minikube-m03,minikube-m02,128,21,16841
2024-12-11 00:05:31.385,mrleo-pod-gu-33,Succeeded,minikube-m03,minikube-m02,129,21,18685
2024-12-11 00:05:31.390,julius-pod-bu-3,Succeeded,minikube,minikube,465,0,16291
2024-12-11 00:05:31.684,julius-pod-bu-5,Succeeded,minikube-m03,minikube-m03,203,0,18128
2024-12-11 00:05:31.970,julius-pod-be-2,Succeeded,minikube-m04,minikube-m04,255,0,18788
2024-12-11 00:05:32.226,julius-pod-bu-3,Succeeded,minikube,minikube,465,0,20585
2024-12-11 00:05:32.247,mrleo-pod-gu-33,Succeeded,minikube-m03,minikube-m02,129,21,13252
2024-12-11 00:05:32.478,julius-pod-bu-24,Succeeded,minikube,minikube,193,0,14877
