timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-10 23:27:48.982,mrleo-pod-be-10,Succeeded,minikube,minikube-m02,113,21,6501
2024-12-10 23:27:49.013,mrleo-pod-be-9,Succeeded,minikube-m03,minikube-m02,159,21,6531
2024-12-10 23:27:49.110,mrleo-pod-gu-7,Succeeded,minikube-m02,minikube-m03,167,21,6628
2024-12-10 23:27:49.972,mrleo-pod-be-10,Succeeded,minikube,minikube-m02,113,21,7496
2024-12-10 23:27:49.990,mrleo-pod-gu-7,Succeeded,minikube-m02,minikube-m03,167,21,7508
2024-12-10 23:27:50.216,mrleo-pod-be-9,Succeeded,minikube-m03,minikube-m02,159,21,7735
2024-12-10 23:27:50.361,mrleo-pod-gu-20,Succeeded,minikube-m04,minikube-m04,186,0,6596
2024-12-10 23:27:51.172,mrleo-pod-gu-20,Succeeded,minikube-m04,minikube-m04,186,0,7403
2024-12-10 23:27:51.297,mrleo-pod-gu-19,Succeeded,minikube,minikube-m04,133,26,7527
2024-12-10 23:27:51.627,mrleo-pod-be-8,Succeeded,minikube,minikube-m02,295,21,9150
2024-12-10 23:27:51.648,mrleo-pod-be-15,Succeeded,minikube-m03,minikube-m02,120,21,7880
2024-12-10 23:27:52.180,mrleo-pod-gu-19,Succeeded,minikube,minikube-m04,133,26,8410
2024-12-10 23:27:52.495,mrleo-pod-be-8,Succeeded,minikube,minikube-m02,295,21,9013
2024-12-10 23:27:52.523,mrleo-pod-be-15,Succeeded,minikube-m03,minikube-m02,120,21,8754
2024-12-10 23:27:52.690,mrleo-pod-be-32,Succeeded,minikube,minikube-m02,161,21,7310
2024-12-10 23:27:53.314,julius-pod-bu-5,Succeeded,minikube-m03,minikube-m03,203,0,9832
2024-12-10 23:27:53.363,mrleo-pod-gu-17,Succeeded,minikube-m03,minikube-m03,128,0,9593
2024-12-10 23:27:53.835,julius-pod-bu-3,Succeeded,minikube,minikube-m04,465,26,10358
2024-12-10 23:27:53.881,mrleo-pod-be-32,Succeeded,minikube,minikube-m02,161,21,8502
2024-12-10 23:27:54.173,julius-pod-bu-5,Succeeded,minikube-m03,minikube-m03,203,0,10691
