timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay,
2024-12-06 15:21:30.468,aeneas-pod-bu-1,Pending,minikube-m02,minikube-m02,322,0,
2024-12-06 15:21:30.478,aeneas-pod-bu-1,Pending,minikube-m02,minikube-m02,322,0,
2024-12-06 15:21:30.485,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 15:21:30.489,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 15:21:30.496,julius-pod-bu-5,Pending,minikube-m02,minikube-m02,203,0,
2024-12-06 15:21:30.513,julius-pod-bu-5,Pending,minikube-m02,minikube-m02,203,0,
2024-12-06 15:21:30.521,mrleo-pod-gu-7,Pending,minikube,minikube,167,0,
2024-12-06 15:21:30.532,mrleo-pod-gu-7,Pending,minikube,minikube,167,0,
2024-12-06 15:21:30.545,mrleo-pod-be-9,Pending,minikube-m02,minikube-m02,159,0,
2024-12-06 15:21:30.560,mrleo-pod-be-9,Pending,minikube-m02,minikube-m02,159,0,
2024-12-06 15:21:30.563,aeneas-pod-be-11,Pending,minikube-m02,minikube-m02,575,0,
2024-12-06 15:21:30.566,aeneas-pod-be-11,Pending,minikube-m02,minikube-m02,575,0,
2024-12-06 15:21:31.149,julius-pod-be-2,Pending,minikube-m02,minikube-m02,255,0,
2024-12-06 15:21:31.172,aeneas-pod-gu-6,Pending,minikube,minikube,516,0,
2024-12-06 15:21:31.205,julius-pod-be-2,Pending,minikube-m02,minikube-m02,255,0,
2024-12-06 15:21:31.211,aeneas-pod-gu-6,Pending,minikube,minikube,516,0,
2024-12-06 15:21:31.215,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 15:21:31.219,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 15:21:31.421,julius-pod-bu-3,Running,minikube,minikube,465,0,
2024-12-06 15:21:31.435,mrleo-pod-gu-7,Running,minikube,minikube,167,0,
2024-12-06 15:21:31.799,aeneas-pod-be-4,Pending,minikube-m02,minikube-m02,463,0,
2024-12-06 15:21:31.818,aeneas-pod-be-4,Pending,minikube-m02,minikube-m02,463,0,
2024-12-06 15:21:31.835,julius-pod-be-12,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 15:21:31.860,julius-pod-be-12,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 15:21:31.867,aeneas-pod-be-14,Pending,minikube-m02,minikube-m02,482,0,
2024-12-06 15:21:31.874,aeneas-pod-be-14,Pending,minikube-m02,minikube-m02,482,0,
2024-12-06 15:21:31.880,aeneas-pod-bu-16,Pending,minikube-m02,minikube-m02,387,0,
