timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-06 16:25:27.428,aeneas-pod-bu-1,Pending,minikube-m02,minikube-m02,322,0,
2024-12-06 16:25:27.444,aeneas-pod-bu-1,Pending,minikube-m02,minikube-m02,322,0,
2024-12-06 16:25:27.447,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 16:25:27.463,julius-pod-bu-3,Pending,minikube,minikube,465,0,
2024-12-06 16:25:27.466,julius-pod-bu-5,Pending,minikube-m02,minikube-m02,203,0,
2024-12-06 16:25:27.469,mrleo-pod-gu-7,Pending,minikube,minikube,167,0,
2024-12-06 16:25:27.473,julius-pod-bu-5,Pending,minikube-m02,minikube-m02,203,0,
2024-12-06 16:25:27.480,mrleo-pod-be-9,Pending,minikube-m02,minikube-m02,159,0,
2024-12-06 16:25:27.497,mrleo-pod-gu-7,Pending,minikube,minikube,167,0,
2024-12-06 16:25:27.507,aeneas-pod-be-11,Pending,minikube-m02,minikube-m02,575,0,
2024-12-06 16:25:27.511,mrleo-pod-be-9,Pending,minikube-m02,minikube-m02,159,0,
2024-12-06 16:25:27.524,aeneas-pod-be-11,Pending,minikube-m02,minikube-m02,575,0,
2024-12-06 16:25:28.085,julius-pod-be-2,Pending,minikube-m02,minikube-m02,255,0,
2024-12-06 16:25:28.125,julius-pod-be-2,Pending,minikube-m02,minikube-m02,255,0,
2024-12-06 16:25:28.144,aeneas-pod-gu-6,Pending,minikube,minikube,516,0,
2024-12-06 16:25:28.149,aeneas-pod-gu-6,Pending,minikube,minikube,516,0,
2024-12-06 16:25:28.152,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 16:25:28.182,mrleo-pod-be-10,Pending,minikube,minikube,113,0,
2024-12-06 16:25:28.399,julius-pod-bu-5,Running,minikube-m02,minikube-m02,203,0,
2024-12-06 16:25:28.540,aeneas-pod-be-11,Running,minikube-m02,minikube-m02,575,0,
2024-12-06 16:25:28.597,aeneas-pod-bu-1,Running,minikube-m02,minikube-m02,322,0,
2024-12-06 16:25:28.757,aeneas-pod-be-4,Pending,minikube-m02,minikube-m02,463,0,
2024-12-06 16:25:28.784,aeneas-pod-be-4,Pending,minikube-m02,minikube-m02,463,0,
2024-12-06 16:25:28.793,julius-pod-be-12,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 16:25:28.813,julius-pod-be-12,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 16:25:28.817,aeneas-pod-be-14,Pending,minikube-m02,minikube-m02,482,0,
2024-12-06 16:25:28.849,aeneas-pod-be-14,Pending,minikube-m02,minikube-m02,482,0,
2024-12-06 16:25:28.857,aeneas-pod-bu-16,Pending,minikube-m02,minikube-m02,387,0,
2024-12-06 16:25:28.880,aeneas-pod-bu-16,Pending,minikube-m02,minikube-m02,387,0,
2024-12-06 16:25:28.893,aeneas-pod-be-18,Pending,minikube-m02,minikube-m02,558,0,
2024-12-06 16:25:28.904,aeneas-pod-be-18,Pending,minikube-m02,minikube-m02,558,0,
2024-12-06 16:25:28.912,mrleo-pod-gu-20,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 16:25:28.917,mrleo-pod-gu-20,Pending,minikube-m02,minikube-m02,186,0,
2024-12-06 16:25:28.923,julius-pod-bu-22,Pending,minikube-m02,minikube-m02,281,0,
2024-12-06 16:25:28.925,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 16:25:28.930,julius-pod-bu-22,Pending,minikube-m02,minikube-m02,281,0,
2024-12-06 16:25:28.935,julius-pod-bu-24,Pending,minikube,minikube,193,0,
2024-12-06 16:25:29.192,mrleo-pod-be-10,Running,minikube,minikube,113,0,
2024-12-06 16:25:29.208,aeneas-pod-gu-6,Running,minikube,minikube,516,0,
2024-12-06 16:25:29.228,mrleo-pod-gu-7,Running,minikube,minikube,167,0,
2024-12-06 16:25:29.241,julius-pod-bu-3,Running,minikube,minikube,465,0,
2024-12-06 16:25:29.680,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 16:25:29.697,mrleo-pod-be-15,Pending,minikube-m02,minikube-m02,120,0,
2024-12-06 16:25:29.710,mrleo-pod-be-8,Pending,minikube,minikube,295,0,
2024-12-06 16:25:29.718,mrleo-pod-gu-19,Pending,minikube,minikube,133,0,
2024-12-06 16:25:29.725,mrleo-pod-be-15,Pending,minikube-m02,minikube-m02,120,0,
2024-12-06 16:25:29.731,aeneas-pod-be-23,Pending,minikube-m02,minikube-m02,323,0,
2024-12-06 16:25:29.737,mrleo-pod-gu-19,Pending,minikube,minikube,133,0,
2024-12-06 16:25:29.751,aeneas-pod-be-23,Pending,minikube-m02,minikube-m02,323,0,
2024-12-06 16:25:29.822,mrleo-pod-be-9,Running,minikube-m02,minikube-m02,159,0,
2024-12-06 16:25:29.917,aeneas-pod-be-4,Running,minikube-m02,minikube-m02,463,0,
2024-12-06 16:25:29.933,julius-pod-be-12,Running,minikube-m02,minikube-m02,186,0,
2024-12-06 16:25:29.946,aeneas-pod-bu-16,Running,minikube-m02,minikube-m02,387,0,
