timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-12-08 18:16:48.256,mrleo-pod-be-9,Succeeded,minikube,minikube-m06,159,21,12678
2024-12-08 18:16:48.709,mrleo-pod-gu-7,Succeeded,minikube-m08,minikube-m07,167,21,14315
2024-12-08 18:16:49.301,mrleo-pod-be-9,Succeeded,minikube-m08,minikube-m03,159,21,17519
2024-12-08 18:16:49.489,mrleo-pod-be-10,Succeeded,minikube-m03,minikube-m08,113,21,15328
2024-12-08 18:16:49.609,mrleo-pod-gu-7,Succeeded,minikube-m08,minikube-m06,167,21,16352
2024-12-08 18:16:50.320,mrleo-pod-gu-20,Succeeded,minikube-m06,minikube-m06,186,0,15260
2024-12-08 18:16:50.478,mrleo-pod-be-10,Succeeded,minikube-m04,minikube-m03,113,21,15946
2024-12-08 18:16:51.168,mrleo-pod-gu-20,Succeeded,minikube-m06,minikube-m06,186,0,14003
2024-12-08 18:16:51.359,mrleo-pod-gu-19,Succeeded,minikube-m06,minikube-m08,133,26,16264
2024-12-08 18:16:51.384,julius-pod-bu-3,Succeeded,minikube-m07,minikube-m02,465,26,19963
2024-12-08 18:16:51.730,mrleo-pod-be-8,Succeeded,minikube-m05,minikube-m08,295,21,19242
2024-12-08 18:16:51.759,mrleo-pod-be-15,Succeeded,minikube-m04,minikube-m03,120,21,16036
2024-12-08 18:16:52.007,julius-pod-bu-5,Succeeded,minikube-m03,minikube-m03,203,0,19696
2024-12-08 18:16:52.058,julius-pod-be-2,Succeeded,minikube-m02,minikube-m03,255,26,19735
2024-12-08 18:16:52.202,julius-pod-bu-3,Succeeded,minikube-m06,minikube-m05,465,26,16278
2024-12-08 18:16:52.234,mrleo-pod-gu-19,Succeeded,minikube-m02,minikube-m06,133,26,16001
2024-12-08 18:16:52.530,mrleo-pod-be-8,Succeeded,minikube-m03,minikube-m04,295,21,19077
2024-12-08 18:16:52.542,mrleo-pod-be-15,Succeeded,minikube-m06,minikube-m08,120,21,16956
2024-12-08 18:16:52.693,mrleo-pod-be-32,Succeeded,minikube-m06,minikube-m07,161,21,16285
2024-12-08 18:16:52.813,julius-pod-bu-5,Succeeded,minikube-m08,minikube-m08,203,0,18351
2024-12-08 18:16:52.983,julius-pod-be-2,Succeeded,minikube-m03,minikube-m07,255,26,18851
2024-12-08 18:16:53.039,mrleo-pod-gu-17,Succeeded,minikube-m04,minikube-m04,128,0,19132
2024-12-08 18:16:53.051,julius-pod-bu-22,Succeeded,minikube-m07,minikube-m07,281,0,16447
2024-12-08 18:16:53.156,julius-pod-be-12,Succeeded,minikube,minikube-m05,186,26,17546
2024-12-08 18:16:53.522,julius-pod-bu-24,Succeeded,minikube-m06,minikube-m07,193,26,19702
2024-12-08 18:16:53.629,mrleo-pod-be-32,Succeeded,minikube-m07,minikube-m06,161,21,17282
2024-12-08 18:16:54.046,julius-pod-bu-22,Succeeded,minikube-m06,minikube-m06,281,0,19174
2024-12-08 18:16:54.097,julius-pod-be-12,Succeeded,minikube-m05,minikube-m02,186,26,18806
2024-12-08 18:16:54.239,mrleo-pod-gu-17,Succeeded,minikube-m07,minikube-m07,128,0,17041
2024-12-08 18:16:54.342,mrleo-pod-gu-33,Succeeded,minikube-m08,minikube-m08,129,0,18472
2024-12-08 18:16:54.689,julius-pod-bu-24,Succeeded,minikube-m02,minikube-m08,193,26,18074
2024-12-08 18:16:54.970,mrleo-pod-bu-36,Succeeded,minikube-m03,minikube-m03,75,0,15545
2024-12-08 18:16:55.108,mrleo-pod-gu-33,Succeeded,minikube-m08,minikube-m08,129,0,17331
2024-12-08 18:16:55.599,julius-pod-be-28,Succeeded,minikube-m04,minikube-m04,209,0,16412
2024-12-08 18:16:55.636,julius-pod-be-34,Succeeded,minikube-m02,minikube-m06,345,21,16428
2024-12-08 18:16:55.824,mrleo-pod-bu-36,Succeeded,minikube,minikube,75,0,16784
2024-12-08 18:16:56.042,julius-pod-be-30,Succeeded,minikube-m06,minikube-m04,226,26,17923
2024-12-08 18:16:56.332,julius-pod-be-34,Succeeded,minikube,minikube-m02,345,21,17226
2024-12-08 18:16:56.382,julius-pod-be-28,Succeeded,minikube-m03,minikube-m03,209,0,17583
2024-12-08 18:16:56.746,julius-pod-be-31,Succeeded,minikube,minikube-m05,136,21,18095
2024-12-08 18:16:56.882,julius-pod-be-30,Succeeded,minikube,minikube-m08,226,26,18956
2024-12-08 18:16:57.235,julius-pod-gu-27,Succeeded,minikube-m08,minikube-m04,245,26,18024
2024-12-08 18:16:57.549,julius-pod-be-31,Succeeded,minikube-m05,minikube-m07,136,21,18196
2024-12-08 18:16:58.052,julius-pod-gu-27,Succeeded,minikube-m07,minikube-m06,245,26,18903
2024-12-08 18:16:58.385,julius-pod-gu-40,Succeeded,minikube-m02,minikube-m02,225,0,18892
2024-12-08 18:16:59.260,julius-pod-gu-40,Succeeded,minikube-m03,minikube-m03,225,0,17745
2024-12-08 18:16:59.401,julius-pod-be-37,Succeeded,minikube-m07,minikube-m04,206,21,19532
2024-12-08 18:16:59.416,mrleo-pod-gu-43,Succeeded,minikube-m04,minikube-m08,157,26,17684
2024-12-08 18:17:00.328,julius-pod-be-37,Succeeded,minikube-m08,minikube-m03,206,21,18818
2024-12-08 18:17:00.383,mrleo-pod-gu-43,Succeeded,minikube-m06,minikube,157,26,20462
2024-12-08 18:17:00.680,mrleo-pod-gu-52,Succeeded,minikube-m08,minikube-m08,197,0,17897
2024-12-08 18:17:00.761,aeneas-pod-be-11,Succeeded,minikube-m08,minikube-m03,575,26,23414
2024-12-08 18:17:00.766,mrleo-pod-gu-47,Succeeded,minikube-m06,minikube-m06,141,0,18936
2024-12-08 18:17:00.795,aeneas-pod-bu-1,Succeeded,minikube-m02,minikube-m03,322,31,23485
2024-12-08 18:17:01.300,julius-pod-bu-35,Succeeded,minikube-m02,minikube-m02,281,0,19754
2024-12-08 18:17:01.312,julius-pod-bu-41,Succeeded,minikube-m07,minikube-m05,183,21,18110
2024-12-08 18:17:01.410,mrleo-pod-gu-47,Succeeded,minikube-m06,minikube-m06,141,0,18619
2024-12-08 18:17:01.446,mrleo-pod-gu-52,Succeeded,minikube-m03,minikube-m03,197,0,18712
2024-12-08 18:17:01.530,aeneas-pod-be-11,Succeeded,minikube,minikube-m02,575,26,22931
2024-12-08 18:17:01.595,aeneas-pod-bu-1,Succeeded,minikube-m08,minikube-m02,322,31,26773
2024-12-08 18:17:01.664,mrleo-pod-be-56,Succeeded,minikube-m05,minikube-m04,255,21,19770
2024-12-08 18:17:01.685,julius-pod-be-39,Succeeded,minikube-m07,minikube-m07,325,0,20121
2024-12-08 18:17:01.705,mrleo-pod-be-56,Succeeded,minikube-m04,minikube-m07,255,21,21051
2024-12-08 18:17:01.820,aeneas-pod-gu-6,Succeeded,minikube,minikube-m03,516,21,24458
2024-12-08 18:17:01.985,julius-pod-bu-35,Succeeded,minikube-m03,minikube-m03,281,0,22985
2024-12-08 18:17:02.004,julius-pod-bu-41,Succeeded,minikube-m05,minikube-m06,183,21,22747
2024-12-08 18:17:02.594,julius-pod-be-39,Succeeded,minikube,minikube,325,0,22242
2024-12-08 18:17:02.733,mrleo-pod-be-56,Succeeded,minikube-m06,minikube-m02,255,21,20821
2024-12-08 18:17:03.043,aeneas-pod-gu-6,Succeeded,minikube-m08,minikube-m05,516,21,28229
2024-12-08 18:17:03.659,aeneas-pod-be-4,Succeeded,minikube-m02,minikube-m03,463,31,25055
2024-12-08 18:17:03.730,aeneas-pod-be-18,Succeeded,minikube-m08,minikube-m07,558,26,24315
2024-12-08 18:17:03.826,aeneas-pod-bu-16,Succeeded,minikube-m07,minikube,387,26,28035
2024-12-08 18:17:03.958,mrleo-pod-bu-55,Succeeded,minikube-m08,minikube-m08,135,0,19450
2024-12-08 18:17:04.466,aeneas-pod-be-18,Succeeded,minikube-m05,minikube-m03,558,26,25940
2024-12-08 18:17:04.506,aeneas-pod-be-4,Succeeded,minikube-m08,minikube-m06,463,31,29876
2024-12-08 18:17:04.528,aeneas-pod-bu-16,Succeeded,minikube-m02,minikube-m04,387,26,27328
2024-12-08 18:17:04.679,mrleo-pod-bu-55,Succeeded,minikube-m04,minikube-m04,135,0,20253
2024-12-08 18:17:04.762,aeneas-pod-be-14,Succeeded,minikube-m05,minikube-m08,482,26,28944
2024-12-08 18:17:04.787,julius-pod-be-50,Succeeded,minikube,minikube-m08,221,26,22103
2024-12-08 18:17:04.803,aeneas-pod-be-23,Succeeded,minikube-m03,minikube,323,31,28042
2024-12-08 18:17:05.388,aeneas-pod-bu-21,Succeeded,minikube-m06,minikube,399,21,27132
2024-12-08 18:17:05.600,aeneas-pod-be-14,Succeeded,minikube-m08,minikube,482,26,26722
2024-12-08 18:17:05.678,julius-pod-be-50,Succeeded,minikube-m05,minikube-m03,221,26,24595
2024-12-08 18:17:05.741,aeneas-pod-be-23,Succeeded,minikube,minikube-m08,323,31,28336
2024-12-08 18:17:06.060,julius-pod-be-64,Succeeded,minikube-m08,minikube-m06,604,21,22067
2024-12-08 18:17:06.081,julius-pod-bu-49,Succeeded,minikube-m08,minikube,126,21,24933
2024-12-08 18:17:06.114,julius-pod-gu-60,Succeeded,minikube-m05,minikube-m07,286,21,19221
2024-12-08 18:17:06.138,aeneas-pod-bu-13,Succeeded,minikube-m03,minikube-m08,464,21,28800
2024-12-08 18:17:06.158,julius-pod-bu-53,Succeeded,minikube,minikube-m06,353,21,22830
2024-12-08 18:17:06.270,aeneas-pod-bu-21,Succeeded,minikube-m08,minikube-m03,399,21,29018
2024-12-08 18:17:06.420,aeneas-pod-be-26,Succeeded,minikube,minikube-m07,300,21,24648
2024-12-08 18:17:06.735,aeneas-pod-bu-13,Succeeded,minikube-m03,minikube,464,21,28392
2024-12-08 18:17:06.775,julius-pod-bu-53,Succeeded,minikube-m05,minikube-m06,353,21,21557
2024-12-08 18:17:06.789,julius-pod-bu-49,Succeeded,minikube-m03,minikube-m02,126,21,24185
2024-12-08 18:17:06.819,julius-pod-be-64,Succeeded,minikube-m07,minikube-m02,604,21,22405
