timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-06-11 17:04:41.783,julius-pod-gu-3,Pending,minikube-m02,minikube-m02,54,0
2024-06-11 17:04:41.798,julius-pod-gu-3,Pending,minikube-m02,minikube-m02,54,0
2024-06-11 17:04:41.801,julius-pod-bu-2,Pending,minikube,minikube,111,0
2024-06-11 17:04:41.808,julius-pod-bu-2,Pending,minikube,minikube,111,0
2024-06-11 17:04:42.359,julius-pod-gu-4,Pending,minikube,minikube,57,0
2024-06-11 17:04:42.375,julius-pod-gu-4,Pending,minikube,minikube,57,0
2024-06-11 17:04:42.931,julius-pod-gu-6,Pending,minikube,minikube,17,0
2024-06-11 17:04:42.955,julius-pod-gu-6,Pending,minikube,minikube,17,0
2024-06-11 17:04:42.959,julius-pod-be-1,Pending,minikube-m02,minikube,98,11
2024-06-11 17:04:42.976,julius-pod-be-1,Pending,minikube-m02,minikube,98,11
2024-06-11 17:04:42.979,julius-pod-be-8,Pending,minikube-m02,minikube-m02,32,0
2024-06-11 17:04:42.991,julius-pod-be-8,Pending,minikube-m02,minikube-m02,32,0
2024-06-11 17:04:43.013,julius-pod-bu-2,Running,minikube,minikube,111,0
2024-06-11 17:04:43.626,julius-pod-gu-3,Running,minikube-m02,minikube-m02,54,0
2024-06-11 17:04:44.042,julius-pod-gu-6,Running,minikube,minikube,17,0
2024-06-11 17:04:44.058,julius-pod-gu-4,Running,minikube,minikube,57,0
2024-06-11 17:04:44.658,julius-pod-be-1,Running,minikube-m02,minikube,98,11
2024-06-11 17:04:44.678,julius-pod-be-8,Running,minikube-m02,minikube-m02,32,0
2024-06-11 17:04:45.893,julius-pod-gu-13,Pending,minikube-m02,minikube-m02,24,0
2024-06-11 17:04:45.911,julius-pod-gu-13,Pending,minikube-m02,minikube-m02,24,0
2024-06-11 17:04:47.816,julius-pod-gu-13,Running,minikube-m02,minikube-m02,24,0
2024-06-11 17:05:55.562,julius-pod-be-8,Running,minikube-m02,minikube-m02,32,0
2024-06-11 17:05:56.788,julius-pod-be-8,Succeeded,minikube-m02,minikube-m02,32,0
2024-06-11 17:05:57.576,julius-pod-be-8,Succeeded,minikube-m02,minikube-m02,32,0
2024-06-11 17:05:58.450,julius-pod-bu-2,Running,minikube,minikube,111,0
2024-06-11 17:05:58.583,julius-pod-gu-3,Running,minikube-m02,minikube-m02,54,0
2024-06-11 17:05:59.618,julius-pod-bu-2,Succeeded,minikube,minikube,111,0
2024-06-11 17:05:59.755,julius-pod-gu-3,Succeeded,minikube-m02,minikube-m02,54,0
2024-06-11 17:06:00.010,mrleo-pod-gu-10,Pending,minikube-m02,minikube-m02,86,0
2024-06-11 17:06:00.033,julius-pod-gu-34,Pending,minikube,minikube,47,0
2024-06-11 17:06:00.038,mrleo-pod-gu-10,Pending,minikube-m02,minikube-m02,86,0
2024-06-11 17:06:00.049,julius-pod-gu-34,Pending,minikube,minikube,47,0
2024-06-11 17:06:00.863,julius-pod-gu-3,Succeeded,minikube-m02,minikube-m02,54,0
