timestamp,pod_name,Status,initial_node,running_node,ran_delay,inter_node_delay
2024-06-11 14:58:59.882,julius-pod-gu-3,Pending,minikube-m02,minikube-m02,54,0
2024-06-11 14:58:59.899,julius-pod-gu-3,Pending,minikube-m02,minikube-m02,54,0
2024-06-11 14:58:59.906,julius-pod-bu-2,Pending,minikube,minikube,111,0
2024-06-11 14:58:59.913,julius-pod-bu-2,Pending,minikube,minikube,111,0
2024-06-11 14:59:00.477,julius-pod-gu-4,Pending,minikube,minikube,57,0
2024-06-11 14:59:00.494,julius-pod-gu-4,Pending,minikube,minikube,57,0
2024-06-11 14:59:01.058,julius-pod-gu-6,Pending,minikube,minikube,17,0
2024-06-11 14:59:01.073,julius-pod-gu-6,Pending,minikube,minikube,17,0
2024-06-11 14:59:01.081,julius-pod-be-1,Pending,minikube-m02,minikube,98,11
2024-06-11 14:59:01.090,julius-pod-be-1,Pending,minikube-m02,minikube,98,11
2024-06-11 14:59:01.097,julius-pod-be-8,Pending,minikube-m02,minikube-m02,32,0
2024-06-11 14:59:01.110,julius-pod-be-8,Pending,minikube-m02,minikube-m02,32,0
2024-06-11 14:59:01.290,julius-pod-bu-2,Running,minikube,minikube,111,0
2024-06-11 14:59:01.790,julius-pod-gu-3,Running,minikube-m02,minikube-m02,54,0
2024-06-11 14:59:02.352,julius-pod-gu-4,Running,minikube,minikube,57,0
2024-06-11 14:59:02.367,julius-pod-gu-6,Running,minikube,minikube,17,0
2024-06-11 14:59:02.841,julius-pod-be-8,Running,minikube-m02,minikube-m02,32,0
2024-06-11 14:59:02.845,julius-pod-be-1,Running,minikube-m02,minikube,98,11
2024-06-11 14:59:04.013,julius-pod-gu-13,Pending,minikube-m02,minikube-m02,24,0
2024-06-11 14:59:04.030,julius-pod-gu-13,Pending,minikube-m02,minikube-m02,24,0
2024-06-11 14:59:05.934,julius-pod-gu-13,Running,minikube-m02,minikube-m02,24,0
2024-06-11 15:00:25.754,julius-pod-be-1,Running,minikube-m02,minikube,98,11
2024-06-11 15:00:25.777,julius-pod-bu-2,Running,minikube,minikube,111,0
2024-06-11 15:00:26.116,julius-pod-gu-3,Running,minikube-m02,minikube-m02,54,0
2024-06-11 15:00:26.351,julius-pod-be-1,Succeeded,minikube-m02,minikube,98,11
2024-06-11 15:00:26.741,julius-pod-bu-2,Succeeded,minikube,minikube,111,0
2024-06-11 15:00:27.014,julius-pod-gu-34,Pending,minikube,minikube,47,0
2024-06-11 15:00:27.048,julius-pod-gu-34,Pending,minikube,minikube,47,0
2024-06-11 15:00:27.130,julius-pod-be-1,Succeeded,minikube-m02,minikube,98,11
2024-06-11 15:00:27.324,julius-pod-gu-3,Succeeded,minikube-m02,minikube-m02,54,0
2024-06-11 15:00:27.644,mrleo-pod-gu-10,Pending,minikube-m02,minikube-m02,86,0
2024-06-11 15:00:27.672,mrleo-pod-gu-10,Pending,minikube-m02,minikube-m02,86,0
2024-06-11 15:00:27.913,julius-pod-bu-2,Succeeded,minikube,minikube,111,0
2024-06-11 15:00:27.959,julius-pod-gu-6,Running,minikube,minikube,17,0
2024-06-11 15:00:28.146,julius-pod-gu-3,Succeeded,minikube-m02,minikube-m02,54,0
2024-06-11 15:00:28.987,julius-pod-gu-34,Running,minikube,minikube,47,0
2024-06-11 15:00:29.195,julius-pod-gu-6,Succeeded,minikube,minikube,17,0
2024-06-11 15:00:29.423,julius-pod-be-8,Running,minikube-m02,minikube-m02,32,0
2024-06-11 15:00:29.443,mrleo-pod-gu-10,Running,minikube-m02,minikube-m02,86,0
2024-06-11 15:00:29.514,julius-pod-gu-42,Pending,minikube,minikube,46,0
2024-06-11 15:00:29.540,julius-pod-gu-42,Pending,minikube,minikube,46,0
2024-06-11 15:00:30.216,julius-pod-gu-6,Succeeded,minikube,minikube,17,0
2024-06-11 15:00:30.627,julius-pod-be-8,Succeeded,minikube-m02,minikube-m02,32,0
2024-06-11 15:00:31.212,julius-pod-gu-42,Running,minikube,minikube,46,0
2024-06-11 15:00:31.456,julius-pod-be-8,Succeeded,minikube-m02,minikube-m02,32,0
2024-06-11 15:00:33.479,julius-pod-gu-13,Running,minikube-m02,minikube-m02,24,0
2024-06-11 15:00:34.643,julius-pod-gu-13,Succeeded,minikube-m02,minikube-m02,24,0
2024-06-11 15:00:35.076,aeneas-pod-gu-16,Pending,minikube-m02,minikube-m02,50,0
2024-06-11 15:00:35.087,aeneas-pod-gu-16,Pending,minikube-m02,minikube-m02,50,0
2024-06-11 15:00:35.505,julius-pod-gu-13,Succeeded,minikube-m02,minikube-m02,24,0
2024-06-11 15:00:36.721,aeneas-pod-gu-16,Running,minikube-m02,minikube-m02,50,0
2024-06-11 15:00:37.280,julius-pod-gu-4,Running,minikube,minikube,57,0
2024-06-11 15:00:38.434,julius-pod-gu-4,Succeeded,minikube,minikube,57,0
2024-06-11 15:00:38.697,julius-pod-gu-50,Pending,minikube,minikube-m02,51,11
2024-06-11 15:00:38.714,julius-pod-gu-50,Pending,minikube,minikube-m02,51,11
2024-06-11 15:00:39.369,julius-pod-gu-4,Succeeded,minikube,minikube,57,0
2024-06-11 15:00:40.389,julius-pod-gu-50,Running,minikube,minikube-m02,51,11
2024-06-11 15:01:31.972,julius-pod-gu-34,Running,minikube,minikube,47,0
2024-06-11 15:01:33.141,julius-pod-gu-34,Succeeded,minikube,minikube,47,0
2024-06-11 15:01:33.341,julius-pod-gu-66,Pending,minikube,minikube,36,0
2024-06-11 15:01:33.358,julius-pod-gu-66,Pending,minikube,minikube,36,0
2024-06-11 15:01:34.007,julius-pod-gu-34,Succeeded,minikube,minikube,47,0
2024-06-11 15:01:34.033,julius-pod-gu-42,Running,minikube,minikube,46,0
2024-06-11 15:01:35.055,julius-pod-gu-66,Running,minikube,minikube,36,0
2024-06-11 15:01:35.194,julius-pod-gu-42,Succeeded,minikube,minikube,46,0
2024-06-11 15:01:35.773,julius-pod-gu-68,Pending,minikube,minikube,48,0
2024-06-11 15:01:35.786,julius-pod-gu-68,Pending,minikube,minikube,48,0
2024-06-11 15:01:36.077,julius-pod-gu-42,Succeeded,minikube,minikube,46,0
2024-06-11 15:01:37.103,julius-pod-gu-68,Running,minikube,minikube,48,0
2024-06-11 15:01:40.228,aeneas-pod-gu-16,Running,minikube-m02,minikube-m02,50,0
2024-06-11 15:01:41.390,aeneas-pod-gu-16,Succeeded,minikube-m02,minikube-m02,50,0
2024-06-11 15:01:41.889,aeneas-pod-gu-20,Pending,minikube-m02,minikube-m02,94,0
2024-06-11 15:01:41.906,aeneas-pod-gu-20,Pending,minikube-m02,minikube-m02,94,0
2024-06-11 15:01:42.250,aeneas-pod-gu-16,Succeeded,minikube-m02,minikube-m02,50,0
2024-06-11 15:01:43.194,julius-pod-gu-50,Running,minikube,minikube-m02,51,11
2024-06-11 15:01:43.267,aeneas-pod-gu-20,Running,minikube-m02,minikube-m02,94,0
2024-06-11 15:01:44.352,julius-pod-gu-50,Succeeded,minikube,minikube-m02,51,11
2024-06-11 15:01:44.995,julius-pod-gu-71,Pending,minikube,minikube,92,0
2024-06-11 15:01:45.010,julius-pod-gu-71,Pending,minikube,minikube,92,0
2024-06-11 15:01:45.228,julius-pod-gu-50,Succeeded,minikube,minikube-m02,51,11
2024-06-11 15:01:46.266,julius-pod-gu-71,Running,minikube,minikube,92,0
2024-06-11 15:01:51.346,mrleo-pod-gu-10,Running,minikube-m02,minikube-m02,86,0
2024-06-11 15:01:52.513,mrleo-pod-gu-10,Succeeded,minikube-m02,minikube-m02,86,0
2024-06-11 15:01:53.096,mrleo-pod-gu-27,Pending,minikube-m02,minikube-m02,80,0
2024-06-11 15:01:53.112,mrleo-pod-gu-27,Pending,minikube-m02,minikube-m02,80,0
2024-06-11 15:01:53.370,mrleo-pod-gu-10,Succeeded,minikube-m02,minikube-m02,86,0
2024-06-11 15:01:54.392,mrleo-pod-gu-27,Running,minikube-m02,minikube-m02,80,0
2024-06-11 15:02:37.921,julius-pod-gu-66,Running,minikube,minikube,36,0
2024-06-11 15:02:39.090,julius-pod-gu-66,Succeeded,minikube,minikube,36,0
2024-06-11 15:02:39.553,julius-pod-gu-75,Pending,minikube,minikube-m02,36,11
2024-06-11 15:02:39.570,julius-pod-gu-75,Pending,minikube,minikube-m02,36,11
2024-06-11 15:02:39.950,julius-pod-gu-66,Succeeded,minikube,minikube,36,0
2024-06-11 15:02:40.188,julius-pod-gu-68,Running,minikube,minikube,48,0
2024-06-11 15:02:41.212,julius-pod-gu-75,Running,minikube,minikube-m02,36,11
2024-06-11 15:02:41.397,julius-pod-gu-68,Succeeded,minikube,minikube,48,0
2024-06-11 15:02:41.809,aeneas-pod-gu-20,Running,minikube-m02,minikube-m02,94,0
2024-06-11 15:02:42.090,julius-pod-gu-90,Pending,minikube,minikube,49,0
2024-06-11 15:02:42.113,julius-pod-gu-90,Pending,minikube,minikube,49,0
2024-06-11 15:02:42.221,julius-pod-gu-68,Succeeded,minikube,minikube,48,0
2024-06-11 15:02:42.990,aeneas-pod-gu-20,Succeeded,minikube-m02,minikube-m02,94,0
2024-06-11 15:02:43.359,aeneas-pod-gu-30,Pending,minikube-m02,minikube,107,11
2024-06-11 15:02:43.378,aeneas-pod-gu-30,Pending,minikube-m02,minikube,107,11
2024-06-11 15:02:44.013,aeneas-pod-gu-20,Succeeded,minikube-m02,minikube-m02,94,0
2024-06-11 15:02:44.292,julius-pod-gu-90,Running,minikube,minikube,49,0
2024-06-11 15:02:45.037,aeneas-pod-gu-30,Running,minikube-m02,minikube,107,11
2024-06-11 15:02:49.370,julius-pod-gu-71,Running,minikube,minikube,92,0
2024-06-11 15:02:50.527,julius-pod-gu-71,Succeeded,minikube,minikube,92,0
2024-06-11 15:02:51.095,julius-pod-gu-109,Pending,minikube,minikube,68,0
2024-06-11 15:02:51.111,julius-pod-gu-109,Pending,minikube,minikube,68,0
2024-06-11 15:02:51.413,julius-pod-gu-71,Succeeded,minikube,minikube,92,0
2024-06-11 15:02:52.446,julius-pod-gu-109,Running,minikube,minikube,68,0
2024-06-11 15:03:15.317,mrleo-pod-gu-27,Running,minikube-m02,minikube-m02,80,0
2024-06-11 15:03:16.475,mrleo-pod-gu-27,Succeeded,minikube-m02,minikube-m02,80,0
2024-06-11 15:03:16.904,aeneas-pod-gu-33,Pending,minikube-m02,minikube,106,11
2024-06-11 15:03:16.917,aeneas-pod-gu-33,Pending,minikube-m02,minikube,106,11
2024-06-11 15:03:17.541,mrleo-pod-gu-27,Succeeded,minikube-m02,minikube-m02,80,0
2024-06-11 15:03:18.549,aeneas-pod-gu-33,Running,minikube-m02,minikube,106,11
2024-06-11 15:03:43.807,aeneas-pod-gu-30,Running,minikube-m02,minikube,107,11
2024-06-11 15:03:44.137,julius-pod-gu-75,Running,minikube,minikube-m02,36,11
2024-06-11 15:03:44.974,aeneas-pod-gu-30,Succeeded,minikube-m02,minikube,107,11
2024-06-11 15:03:45.317,julius-pod-gu-75,Succeeded,minikube,minikube-m02,36,11
2024-06-11 15:03:45.391,aeneas-pod-gu-41,Pending,minikube-m02,minikube,108,11
2024-06-11 15:03:45.411,aeneas-pod-gu-41,Pending,minikube-m02,minikube,108,11
2024-06-11 15:03:45.834,aeneas-pod-gu-30,Succeeded,minikube-m02,minikube,107,11
2024-06-11 15:03:46.084,julius-pod-gu-110,Pending,minikube,minikube,28,0
2024-06-11 15:03:46.110,julius-pod-gu-110,Pending,minikube,minikube,28,0
2024-06-11 15:03:46.191,julius-pod-gu-75,Succeeded,minikube,minikube-m02,36,11
2024-06-11 15:03:47.077,aeneas-pod-gu-41,Running,minikube-m02,minikube,108,11
2024-06-11 15:03:47.206,julius-pod-gu-90,Running,minikube,minikube,49,0
2024-06-11 15:03:47.222,julius-pod-gu-110,Running,minikube,minikube,28,0
2024-06-11 15:03:48.401,julius-pod-gu-90,Succeeded,minikube,minikube,49,0
2024-06-11 15:03:48.737,julius-pod-gu-129,Pending,minikube,minikube,26,0
2024-06-11 15:03:48.756,julius-pod-gu-129,Pending,minikube,minikube,26,0
2024-06-11 15:03:49.264,julius-pod-gu-90,Succeeded,minikube,minikube,49,0
2024-06-11 15:03:50.389,julius-pod-gu-129,Running,minikube,minikube,26,0
2024-06-11 15:03:55.483,julius-pod-gu-109,Running,minikube,minikube,68,0
2024-06-11 15:03:56.637,julius-pod-gu-109,Succeeded,minikube,minikube,68,0
2024-06-11 15:03:56.776,julius-pod-gu-130,Pending,minikube,minikube-m02,57,11
2024-06-11 15:03:56.788,julius-pod-gu-130,Pending,minikube,minikube-m02,57,11
